2026-04-28T01:38:28.308354Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2325 file='12.销地产 产地销，规模成王的模式_笔记.pdf' output='12.销地产 产地销，规模成王的模式_笔记.md'
2026-04-28T01:38:28.328325Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=19.药明康德，G级代工，研发外包模式，打造医药行业“富士康”模式_笔记.pdf
2026-04-28T01:38:28.338815Z [info     ] Processing file                [anything2markdown.pipeline] file='21.尚品宅配，柔性生产链，C2B O2O的模式分析_笔记.pdf'
2026-04-28T01:38:28.344798Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=20.红星美凯龙，比轻资产更轻，委托管理模式_笔记.pdf
2026-04-28T01:38:28.495190Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='21.尚品宅配，柔性生产链，C2B O2O的模式分析_笔记.pdf'
2026-04-28T01:38:28.557978Z [info     ] Processing file                [anything2markdown.pipeline] file='22.张江高科，房东 股东，科技投行的模式，率先开启中国产业园的模式_笔记.pdf'
2026-04-28T01:38:28.634304Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='22.张江高科，房东 股东，科技投行的模式，率先开启中国产业园的模式_笔记.pdf'
2026-04-28T01:38:28.661766Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2086 file='18.“连锁 并购基金”的模式_笔记.pdf' output='18.“连锁 并购基金”的模式_笔记.md'
2026-04-28T01:38:28.803297Z [info     ] Processing file                [anything2markdown.pipeline] file='23.宋城演艺，蹭头部流量，做自己的演艺，“千古情 5A景区”模式_笔记.pdf'
2026-04-28T01:38:28.904136Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1950 file=17.先掺后控，打造符合资本的商业模式_笔记.pdf output=17.先掺后控，打造符合资本的商业模式_笔记.md
2026-04-28T01:38:28.965800Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file='23.宋城演艺，蹭头部流量，做自己的演艺，“千古情 5A景区”模式_笔记.pdf'
2026-04-28T01:38:29.125467Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2678 file=19.药明康德，G级代工，研发外包模式，打造医药行业“富士康”模式_笔记.pdf output=19.药明康德，G级代工，研发外包模式，打造医药行业“富士康”模式_笔记.md
2026-04-28T01:38:29.186796Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2267 file='21.尚品宅配，柔性生产链，C2B O2O的模式分析_笔记.pdf' output='21.尚品宅配，柔性生产链，C2B O2O的模式分析_笔记.md'
2026-04-28T01:38:29.187867Z [info     ] Processing file                [anything2markdown.pipeline] file=24.易居企业控股，甲方变乙方，客户变股东，上游房企变股东的模式_笔记.pdf
2026-04-28T01:38:29.217899Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1855 file='2.ODM OEM，超过耐K、A迪净利的商业模式_笔记.pdf' output='2.ODM OEM，超过耐K、A迪净利的商业模式_笔记.md'
2026-04-28T01:38:29.233363Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1836 file='22.张江高科，房东 股东，科技投行的模式，率先开启中国产业园的模式_笔记.pdf' output='22.张江高科，房东 股东，科技投行的模式，率先开启中国产业园的模式_笔记.md'
2026-04-28T01:38:29.235357Z [info     ] Processing file                [anything2markdown.pipeline] file=25.以润唇膏切入彩妆市场的模式_笔记.pdf
2026-04-28T01:38:29.268864Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=24.易居企业控股，甲方变乙方，客户变股东，上游房企变股东的模式_笔记.pdf
2026-04-28T01:38:29.274846Z [info     ] Processing file                [anything2markdown.pipeline] file=26.以猪肉为核心，不卖隔夜肉_笔记.pdf
2026-04-28T01:38:29.312296Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=25.以润唇膏切入彩妆市场的模式_笔记.pdf
2026-04-28T01:38:29.320078Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=1860 file=20.红星美凯龙，比轻资产更轻，委托管理模式_笔记.pdf output=20.红星美凯龙，比轻资产更轻，委托管理模式_笔记.md
2026-04-28T01:38:29.327557Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=26.以猪肉为核心，不卖隔夜肉_笔记.pdf
2026-04-28T01:38:29.337054Z [info     ] Processing file                [anything2markdown.pipeline] file=3.费用归边，流量占股的商业模式_笔记.pdf
2026-04-28T01:38:29.339064Z [info     ] Processing file                [anything2markdown.pipeline] file=4.上下通吃，打通经销商合伙人激励的模式.pdf
2026-04-28T01:38:29.389982Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=2234 file='23.宋城演艺，蹭头部流量，做自己的演艺，“千古情 5A景区”模式_笔记.pdf' output='23.宋城演艺，蹭头部流量，做自己的演艺，“千古情 5A景区”模式_笔记.md'
2026-04-28T01:38:29.473151Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=4.上下通吃，打通经销商合伙人激励的模式.pdf
2026-04-28T01:38:29.531670Z [info     ] Processing file                [anything2markdown.pipeline] file=5.不做主机厂，专注整合商的模式_笔记.pdf
2026-04-28T01:38:29.543141Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=3.费用归边，流量占股的商业模式_笔记.pdf
2026-04-28T01:38:29.579163Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=5.不做主机厂，专注整合商的模式_笔记.pdf
2026-04-28T01:38:29.581157Z [info     ] Processing file                [anything2markdown.pipeline] file=6.为经销商Dai款的模式_笔记.pdf
