2026-04-25T22:35:55.037643Z [info     ] Starting chunking pipeline     [markdown2chunks.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出' output_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出\\chunks'
2026-04-25T22:35:55.250179Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.md
2026-04-25T22:35:55.252343Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-广林汇智调研报告：在西北地区怎么做虚拟电厂？.md
2026-04-25T22:35:55.257652Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-广林汇智调研报告：在西北地区怎么做虚拟电厂？.md
2026-04-25T22:35:55.257652Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-恒实盛景调研报告：怎样做空调虚拟电厂？.md
2026-04-25T22:35:55.262167Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-恒实盛景调研报告：怎样做空调虚拟电厂？.md
2026-04-25T22:35:55.263337Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-正泰安能光伏星调研报告：在非洲如何做户用光伏？.md
2026-04-25T22:35:55.268807Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-正泰安能光伏星调研报告：在非洲如何做户用光伏？.md
2026-04-25T22:35:55.270309Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-河钢集团一线调研报告：钢铁行业存在哪些双碳机会？.md
2026-04-25T22:35:55.277330Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-河钢集团一线调研报告：钢铁行业存在哪些双碳机会？.md
2026-04-25T22:35:55.277832Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-深石集团调研报告：房地产企业怎样做新能源？.md
2026-04-25T22:35:55.282730Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-深石集团调研报告：房地产企业怎样做新能源？.md
2026-04-25T22:35:55.282730Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-特来电零碳大楼调研报告：怎样做车网互动？.md
2026-04-25T22:35:55.288236Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-特来电零碳大楼调研报告：怎样做车网互动？.md
2026-04-25T22:35:55.289243Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-电管家一线调研报告：微电网怎么赚钱？.md
2026-04-25T22:35:55.294823Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-电管家一线调研报告：微电网怎么赚钱？.md
2026-04-25T22:35:55.294823Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-紫电捷控调研报告：交直流微电网怎么做？.md
2026-04-25T22:35:55.299078Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-紫电捷控调研报告：交直流微电网怎么做？.md
2026-04-25T22:35:55.300074Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-纬景储能调研报告：液流电池为储能带来的机会.md
2026-04-25T22:35:55.305719Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-纬景储能调研报告：液流电池为储能带来的机会.md
2026-04-25T22:35:55.306722Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-良信电器调研报告：怎样建设零碳工厂？.md
2026-04-25T22:35:55.311249Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-良信电器调研报告：怎样建设零碳工厂？.md
2026-04-25T22:35:55.311249Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-苏州工业园区的虚拟电厂调研报告：怎样做区域级虚拟电厂.md
2026-04-25T22:35:55.316355Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-苏州工业园区的虚拟电厂调研报告：怎样做区域级虚拟电厂.md
2026-04-25T22:35:55.317570Z [info     ] Processing markdown            [markdown2chunks.pipeline] file='报告-远景科技调研报告：如何把握储能 AIDC领域未来机会.md'
2026-04-25T22:35:55.324090Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file='报告-远景科技调研报告：如何把握储能 AIDC领域未来机会.md'
2026-04-25T22:35:55.324090Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-金风科技调研报告：我国首个碳中和园区是怎样建成的？.md
2026-04-25T22:35:55.328339Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-金风科技调研报告：我国首个碳中和园区是怎样建成的？.md
2026-04-25T22:35:55.332041Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-非洲调研报告（一）：中国新能源企业在肯尼亚有什么机会？.md
2026-04-25T22:35:55.337379Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-非洲调研报告（一）：中国新能源企业在肯尼亚有什么机会？.md
2026-04-25T22:35:55.339521Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-非洲调研报告（二）：中国新能源企业在赞比亚有什么机会？.md
2026-04-25T22:35:55.344619Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-非洲调研报告（二）：中国新能源企业在赞比亚有什么机会？.md
2026-04-25T22:35:55.353516Z [info     ] Chunking pipeline complete     [markdown2chunks.pipeline] duration_seconds=0.3 source_files=26 total_chunks=26 total_tokens=259397
