2026-04-25T16:26:30.795971Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-纬景储能调研报告：液流电池为储能带来的机会.md
2026-04-25T16:26:30.801997Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-纬景储能调研报告：液流电池为储能带来的机会.md
2026-04-25T16:26:30.805761Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-良信电器调研报告：怎样建设零碳工厂？.md
2026-04-25T16:26:30.810827Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-良信电器调研报告：怎样建设零碳工厂？.md
2026-04-25T16:26:30.810827Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-苏州工业园区的虚拟电厂调研报告：怎样做区域级虚拟电厂.md
2026-04-25T16:26:30.816846Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-苏州工业园区的虚拟电厂调研报告：怎样做区域级虚拟电厂.md
2026-04-25T16:26:30.817849Z [info     ] Processing markdown            [markdown2chunks.pipeline] file='报告-远景科技调研报告：如何把握储能 AIDC领域未来机会.md'
2026-04-25T16:26:30.825633Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file='报告-远景科技调研报告：如何把握储能 AIDC领域未来机会.md'
2026-04-25T16:26:30.825633Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-金风科技调研报告：我国首个碳中和园区是怎样建成的？.md
2026-04-25T16:26:30.831012Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-金风科技调研报告：我国首个碳中和园区是怎样建成的？.md
2026-04-25T16:26:30.832014Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-非洲调研报告（一）：中国新能源企业在肯尼亚有什么机会？.md
2026-04-25T16:26:30.836567Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-非洲调研报告（一）：中国新能源企业在肯尼亚有什么机会？.md
2026-04-25T16:26:30.838000Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-非洲调研报告（二）：中国新能源企业在赞比亚有什么机会？.md
2026-04-25T16:26:30.844041Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-非洲调研报告（二）：中国新能源企业在赞比亚有什么机会？.md
2026-04-25T16:26:30.846559Z [info     ] Chunking pipeline complete     [markdown2chunks.pipeline] duration_seconds=0.3 source_files=26 total_chunks=26 total_tokens=259397
