2026-04-28T02:35:24.897842Z [info     ] Starting chunking pipeline     [markdown2chunks.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输出' output_dir='G:\\Program Files\\AI coding\\知识萃取\\商业模式\\输出\\chunks'
2026-04-28T02:35:24.901075Z [info     ] Found files                    [markdown2chunks.pipeline] json=1 markdown=9
2026-04-28T02:35:24.906386Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=2025财富破局从商业模式开始.md
2026-04-28T02:35:25.047846Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=2025财富破局从商业模式开始.md
2026-04-28T02:35:25.048843Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=商业创新案例.md
2026-04-28T02:35:25.109391Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=商业创新案例.md
2026-04-28T02:35:25.109391Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=商业模式与资本运营.md
2026-04-28T02:36:19.547133Z [warning  ] tokens_after not found at expected position [markdown2chunks.utils.levenshtein] after_pos=None expected_pos=95926
2026-04-28T02:36:19.570644Z [info     ] Created chunk                  [markdown2chunks.chunkers.llm_chunker] chars=95926 index=1 remaining=26699
2026-04-28T02:36:19.583819Z [info     ] LLM chunking complete          [markdown2chunks.chunkers.llm_chunker] chunks=2 input_tokens=116155
2026-04-28T02:36:19.586812Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=2 file=商业模式与资本运营.md
2026-04-28T02:36:19.587833Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=商业模式创新案例大全.md
2026-04-28T02:37:23.713110Z [info     ] Created chunk                  [markdown2chunks.chunkers.llm_chunker] chars=95832 index=1 remaining=11379
2026-04-28T02:37:23.719595Z [info     ] LLM chunking complete          [markdown2chunks.chunkers.llm_chunker] chunks=2 input_tokens=103510
2026-04-28T02:37:23.721590Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=2 file=商业模式创新案例大全.md
2026-04-28T02:37:23.722587Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=定位战略塑造产品卖点.md
2026-04-28T02:37:23.743705Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=定位战略塑造产品卖点.md
2026-04-28T02:37:23.744700Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=新资本商业模式与盈利模式.md
2026-04-28T02:37:23.901051Z [info     ] Header chunking complete       [markdown2chunks.chunkers.header_chunker] chunks=49 input_tokens=134754
2026-04-28T02:37:23.976818Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=49 file=新资本商业模式与盈利模式.md
2026-04-28T02:37:23.976818Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=清源创业.md
2026-04-28T02:39:06.877816Z [info     ] Created chunk                  [markdown2chunks.chunkers.llm_chunker] chars=35272 index=1 remaining=120737
2026-04-28T02:40:13.187333Z [info     ] Created chunk                  [markdown2chunks.chunkers.llm_chunker] chars=72118 index=2 remaining=48619
2026-04-28T02:40:13.210813Z [info     ] LLM chunking complete          [markdown2chunks.chunkers.llm_chunker] chunks=3 input_tokens=149525
2026-04-28T02:40:13.226272Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=3 file=清源创业.md
2026-04-28T02:40:13.227269Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=连锁企业的商业模式和股权模式.md
2026-04-28T02:40:13.247957Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=连锁企业的商业模式和股权模式.md
2026-04-28T02:40:13.251460Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=闭门私董会.md
2026-04-28T02:40:13.269299Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=闭门私董会.md
2026-04-28T02:40:13.274287Z [info     ] Chunking pipeline complete     [markdown2chunks.pipeline] duration_seconds=288.4 source_files=9 total_chunks=61 total_tokens=736820
