2026-04-25T01:42:37.725475Z [info     ] Starting Anything2Markdown pipeline [anything2markdown.cli]
2026-04-25T01:42:37.726476Z [info     ] Input directory                [anything2markdown.cli] path='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输入'
2026-04-25T01:42:37.726476Z [info     ] Output directory               [anything2markdown.cli] path='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出'
2026-04-25T01:42:38.812456Z [warning  ] Repomix not found. Install with: npm install -g repomix [anything2markdown.url_parsers.repomix_parser]
2026-04-25T01:42:38.813452Z [info     ] Starting Anything2Markdown pipeline [anything2markdown.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输入' output_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出'
2026-04-25T01:42:38.813955Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.docx
2026-04-25T01:42:38.814963Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.docx
2026-04-25T01:42:38.993165Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=9034 file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.docx output=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.md
2026-04-25T01:42:38.993165Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.docx
2026-04-25T01:42:38.994179Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.docx
2026-04-25T01:42:39.137404Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=9814 file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.docx output=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.md
2026-04-25T01:42:39.137404Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-乌克兰新能源市场机会调研报告.docx
2026-04-25T01:42:39.137404Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-乌克兰新能源市场机会调研报告.docx
2026-04-25T01:42:39.271174Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=7068 file=报告-乌克兰新能源市场机会调研报告.docx output=报告-乌克兰新能源市场机会调研报告.md
2026-04-25T01:42:39.271174Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.docx
2026-04-25T01:42:39.272222Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.docx
2026-04-25T01:42:39.339632Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=7986 file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.docx output=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.md
2026-04-25T01:42:39.339632Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-则鸣新能源调研报告：怎么样做好微电网？.docx
2026-04-25T01:42:39.341028Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-则鸣新能源调研报告：怎么样做好微电网？.docx
2026-04-25T01:42:39.492174Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=9150 file=报告-则鸣新能源调研报告：怎么样做好微电网？.docx output=报告-则鸣新能源调研报告：怎么样做好微电网？.md
2026-04-25T01:42:39.492174Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.docx
2026-04-25T01:42:39.493677Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.docx
2026-04-25T01:42:39.634455Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=8329 file=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.docx output=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.md
2026-04-25T01:42:39.634455Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.docx
2026-04-25T01:42:39.635624Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.docx
2026-04-25T01:42:39.709276Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=8616 file=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.docx output=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.md
2026-04-25T01:42:39.709276Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.docx
2026-04-25T01:42:39.709276Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.docx
2026-04-25T01:42:39.840712Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=7432 file=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.docx output=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.md
2026-04-25T01:42:39.840712Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-国海绿能一线调研报告：重卡换电站怎么做？.docx
2026-04-25T01:42:39.840712Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-国海绿能一线调研报告：重卡换电站怎么做？.docx
2026-04-25T01:42:39.983993Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=8885 file=报告-国海绿能一线调研报告：重卡换电站怎么做？.docx output=报告-国海绿能一线调研报告：重卡换电站怎么做？.md
2026-04-25T01:42:39.983993Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-奇峰聚能调研报告：飞轮储能怎么做？.docx
2026-04-25T01:42:39.985403Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-奇峰聚能调研报告：飞轮储能怎么做？.docx
2026-04-25T01:42:40.057542Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=9629 file=报告-奇峰聚能调研报告：飞轮储能怎么做？.docx output=报告-奇峰聚能调研报告：飞轮储能怎么做？.md
2026-04-25T01:42:40.058541Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.docx
2026-04-25T01:42:40.058541Z [info     ] MarkItDown parsing             [anything2markdown.parsers.markitdown_parser] file=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.docx
2026-04-25T01:42:40.185510Z [info     ] MarkItDown success             [anything2markdown.parsers.markitdown_parser] chars=9438 file=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.docx output=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.md
2026-04-25T01:42:40.185510Z [info     ] Processing file                [anything2markdown.pipeline] file=报告-广林汇智调研报告：在西北地区怎么做虚拟电厂？.docx
